pk_id,id_own_org
14582097882763518273,10545511425556317340
14582097882764361426,10545511425556317340
14582097882764743254,10545511425556317340
14582097882764808786,10545511425556317340
14582097882766225529,10545511425556317340
14582097882766225962,10545511425556317340
14582097882766226392,10545511425556317340
14582097882768008417,10546443563661237356
14582097882771090655,10546443563704418920
14582097882785527888,10546443563808005927
14582097882790413866,10546443563808005927
14582097882791546065,10545511425556317340
14582097882794293581,10545511425556317340
14582097882803483255,10545511425556317340
14582097882807037910,10545511425556317340
14582097882809339962,10545511425561071542
14582097882809765667,10545511425556317340
14582097882809767256,10545511425556317340
14582097882809768118,10545511425556317340
14582097882811539673,10545511425556317340
14582097882812654998,10546443563661237356
14582097882813108461,10546443563747912030
14582097882814327624,10545511425556317340
14582097882815287354,10545511425556317340
14582097882815514392,10546443563797675545
14582097882815560157,10546443563704418920
14582097882815756986,10545511425556317340
14582097882820070296,10545511425556317340
15342935603150901298,10546443563709127408
15345489993061687349,10546172455230192013
15345721718928887807,10546443563747912030
15346181733217263669,10546443563747912030
15347362960200749107,10546443563957342650
15347364882018258967,10546443563957342650
15350425700163178497,10546443563661237356
15350826676581884000,10546443563880188250
15351909338901962848,10546443563880188250
15352682710464258127,10545511425556317340
15356644881237860448,10546443563740246427
15357405571011629091,10546443563709136300
15357780199638884381,10907434497381905958
15359127978181185621,10546443563747912030
15359525903872876570,10546443563709127408
15359854690200248361,10546443563966369017
15359854938876338244,10546443563966369017
15359887044335685672,10546443563748233243
15360268041317306409,10546172455172810058
15360590307628474432,10546443563649843694
15360691621637185592,10546443563649843694
15361747304721731625,10546443563709127408
15362850746907287620,10546443563807881936
15363140268517810228,10546443563880188250
15363511576367783988,10546172455172810058
15363930442822639678,10546443563812175575
15364601247332098076,10691192243951869113
15364966528554426377,10546443563740246427
15365310367924281420,10545511425556317340
15365312471711670349,10691192243951869113
15366019371176615976,10546172455186938119
15366020445144932431,10545511425556317340
15366038986728460297,10546443563834620333
15366041783322599435,10545511425556317340
15366449448859258939,10546443563834620333
15366450188445077538,10545511425556317340
15366474219818901598,10545511425556317340
15366871881466564655,10546443563649843694
15367854980451065861,10691192243901380541
15368200553402261529,10546172455158689121
15368224472272265262,10546172455169997961
15368243171586789434,10545511425556317340
15368269743656067073,10545511425556317340
15368270780492206164,10545511425556317340
15368275149182787677,10545511425556317340
15368307965597634606,10545511425556317340
15368552548822732820,10545511425556317340
15368610879671164974,10546443563834620333
15368660914731536396,10546443563781301555
15368661379514949654,10545511425556317340
15368661407033774137,10546172455150439270
15368666108668207161,10546443563759389961
15368912960613310513,10546443563827515924
15368937337866211421,10546172455172810058
15368995951461064793,10545511425556317340
15369006266584191066,10545511425556317340
15369007402716291142,10545724654283132871
15369270632827113517,10546443563834620333
15369282022715482162,10546443563667803039
15369287733738524753,10545360219000179937
15369313038062637098,10545511425561071468
15369328673333235712,10907434497411062909
15369377657443635288,10546172455172810058
15369379882752598041,10546172455172810058
15369708392465616964,10545511425556317340
